epoch_start,pool,token_id,voter,final_weight,voted_weight,abstained_weight,n_voted,n_abstained,last_event_ts
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,1935,0x47936e516d11d987412e67e5c20c8fb831053653,4711.672877,4711.672877,0.0,1,0,1727842011
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,2093,0xf1253ae06a4e2c7051494631c67770f9010e8417,4343.188523,4343.188523,0.0,1,0,1727844761
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,2108,0xd52d391ebdfe9708346fa5017076d5d190493f78,4476.877029,4476.877029,0.0,1,0,1727850451
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,2160,0x29c7b44e0584624c1e877d3ee0856520e2851ba6,1667.916323,1667.916323,0.0,1,0,1727850861
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,2170,0xe864c76dc41797e606b67ecd23cf0575841cb24e,3481.167645,3481.167645,0.0,1,0,1727827665
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,2189,0xabfd07cc78910f8875169ae6373d95316f4ca117,102466.887928,102466.887928,0.0,1,0,1727802405
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,2328,0x6115c8547521b10460b804958ef6457588b17a86,3756.969244,3756.969244,0.0,1,0,1727830309
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,2362,0xbaa9b493bccbe1a900b39870980f41356f85822a,4587.05206,4587.05206,0.0,1,0,1727868845
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,2386,0xf5879e290ef1b780a84dd9e2a0cdea5ed1c1c41e,3642.438557,3642.438557,0.0,1,0,1727863779
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,2510,0x2afeb9ac4196037c575b45ada553b70ec80d40df,10822.816039,10822.816039,0.0,1,0,1727777085
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,2523,0xf0b84d97327b4a27d7ff1ef03fe9bb37e554628d,3451.76739,3451.76739,0.0,1,0,1727845097
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,2756,0xac0beee809563edbc5960d42a798d12bb5633045,721.762043,721.762043,0.0,1,0,1727731167
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,2829,0x50fa50fa2032d85eb2dda303929bf56886aa9afb,2087.262921,2087.262921,0.0,1,0,1727798201
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,2838,0xd39ea6043d1fa03f5be2beb2cfe65faa4ef0e595,2457.044872,2457.044872,0.0,1,0,1727828873
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,2971,0x9a717799733552a3a49667dee2b6341bc4d8a38d,2194.031931,2194.031931,0.0,1,0,1727858195
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,3047,0xbee2d469aacb46251ae33cca91f482e26c971dff,1271.241641,1271.241641,0.0,1,0,1727821195
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,3049,0x24de90e08999faed07011a574104fe57f3465f96,2146.967991,2146.967991,0.0,1,0,1727857425
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,3251,0x051113f273942ce806965f471665b6215b198a88,1770.320441,1770.320441,0.0,1,0,1727805259
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,3287,0x0f3563d5a39f6add7e60630bd14f9d8ded0cdc5e,865.371389,865.371389,0.0,1,0,1727850193
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,3342,0x887f9c24363b19a97bac67f8b35dfbe1d91bf16a,411.016747,411.016747,0.0,1,0,1727863205
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,3603,0x867d3d7721bc2b3e9a6c3843c73e33ee249e60b5,1224.790578,1224.790578,0.0,1,0,1727830607
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,3726,0xa731c24fc9ca345f43d8614248f9adcd5ed4e281,0.0,0.0,1068.398452,0,1,1727909249
