snapshot_utc,source,dex,pool_name,pool_address,created_at,fee_tier_pct,tvl_usd,volume_usd_1h,volume_usd_6h,volume_usd_24h,est_fees_24h_usd,trades_24h,vol24_to_tvl,price_change_1h_pct,price_change_24h_pct
2026-08-05 18:59:27,top_pools,aerodrome-slipstream,cbETH / WETH 0.05%,0x47ca96ea59c13f72745928887f84c9f52c3d7348,2024-05-06T05:11:31Z,0.05,3673770.64,524064.19,1692630.78,2498870.82,1249.44,2079,0.6802,0.135,2.252
2026-08-05 18:59:27,top_pools,aerodrome-slipstream,AERO / cbBTC 0.6%,0xdfe5f275020def30993f042174fc2d335678b626,2024-11-27T22:05:52Z,0.6,1028496.2,52088.81,663771.33,2379413.28,14276.48,3104,2.3135,-0.19,3.618
2026-08-05 18:59:27,top_pools,aerodrome-slipstream,AERO / WETH 1%,0x82321f3beb69f503380d6b233857d5c43562e2d0,2024-05-08T21:46:47Z,1.0,1147629.06,74966.78,591975.81,2177406.65,21774.07,5436,1.8973,-0.246,3.579
2026-08-05 18:59:27,top_pools,aerodrome-slipstream,VELVET / USDC 0.01%,0x6b0f53cbd9272d8117e9535fe25371dedf39a1be,2025-08-23T23:44:37Z,0.01,3520616.38,159176.56,981520.09,1880358.42,188.04,26736,0.5341,-5.463,15.371
2026-08-05 18:59:27,top_pools,aerodrome-slipstream,MORPHO / WETH 0.3%,0xb5f0b4ae66c14f7efaa9aa1468e8fc536a3e288c,2024-11-26T20:22:44Z,0.3,976661.83,25925.01,196303.22,733825.84,2201.48,2486,0.7514,-0.477,0.988
2026-08-05 18:59:27,top_pools,aerodrome-slipstream,WETH / cbBTC 0.01%,0x22aee3699b6a0fed71490c103bd4e5f3309891d5,2025-09-02T00:25:55Z,0.01,154852.37,83975.65,349575.06,725192.45,72.52,5730,4.6831,0.02,2.225
2026-08-05 18:59:27,top_pools,aerodrome-slipstream,BIO / WETH 0.05%,0x222ccbe78890a4d9ef8d22d7fc1b968be0f2c653,2025-03-20T18:34:52Z,0.05,286016.12,16190.39,192598.61,697823.42,348.91,5229,2.4398,-0.427,7.284
2026-08-05 18:59:27,top_pools,aerodrome-slipstream,msETH / WETH 0.05%,0x74f72788f4814d7ff3c49b44684aa98eee140c0e,2025-05-08T02:28:42Z,0.05,2608500.4,156886.24,453191.8,617089.82,308.54,473,0.2366,0.583,2.082
2026-08-05 18:59:27,top_pools,aerodrome-slipstream,VVV / WETH 0.05%,0x7ec6c9d993d9832aa654593f2dbc21303650bc6c,2025-01-29T23:33:20Z,0.05,2113202.32,29191.97,187911.29,606849.18,303.42,1461,0.2872,-0.473,-5.731
2026-08-05 18:59:27,top_pools,aerodrome-slipstream,VIRTUAL / WETH 0.7%,0xc200f21efe67c7f41b81a854c26f9cda80593065,2024-10-23T23:13:35Z,0.7,290650.93,53220.25,195715.01,603522.16,4224.66,2104,2.0765,0.533,2.51
2026-08-05 18:59:27,top_pools,aerodrome-slipstream,ZORA / USDC 0.27%,0x3f53f1fd5b7723ddf38d93a584d280b9b94c3111,2025-04-23T09:27:24Z,0.27,73471.1,31359.93,132311.31,583978.05,1576.74,3487,7.9484,-1.061,-3.177
2026-08-05 18:59:27,top_pools,aerodrome-slipstream,uSOL / WETH 0.3%,0x0225ba893d5f8ecd6d2022f9dec59b34f61098a1,2024-08-20T20:07:14Z,0.3,795152.2,35230.64,288104.17,559165.71,1677.5,923,0.7032,0.195,1.091
2026-08-05 18:59:27,top_pools,aerodrome-slipstream,msUSD / USDC 0.05%,0x7501bc8bb51616f79bfa524e464fb7b41f0b10fb,2024-12-04T17:59:18Z,0.05,1277691.2,174418.78,373844.59,512114.84,256.06,448,0.4008,-0.565,-0.061
