pool_address,pool_name,votes,vote_share,fees_usd,fee_share,ratio,excess_usd,bribes_usd,emissions_day,vol24_usd,tvl_usd,est_trading_fees_24h,vote_delta,vote_delta_pct,unpriced
0xcdac0d6c6c59727a65f871236188350531885c43,USDC / WETH,5449111.1617,0.005433139463397908,1827.34,0.005240117620615989,0.9644732398124009,-67.31,0.0,3222.26,364974.35,7836170.75,0.0,0.0,0.0,"{""USDC"": 1819.449583}"
0x8bb9eaf3c5a906d20c4cc10ea2f73a3ac2d5d41a,cbETH / cbBTC 0.05%,5403300.358,0.005387462934135327,1816.29,0.0052084304142352355,0.9667686771883423,-62.43,0.0,3196.06,2325195.62,842228.47,1162.6,-847.7823999999091,-0.015687623247447813,"{""cbBTC"": 0.027016}"
0xd23fe2db317e1a96454a2d1c7e8fc0dbf19bb000,CLANKER / WETH 0.3%,1281456.1539,0.0012777001227840803,1677.34,0.004809974547574081,3.764556691982821,1231.78,0.0,757.54,82473.94,117893.34,247.42,-5.557700000004843,-0.0004337000434500413,
0xcefc8b799a8ee5d9b312aeca73262645d664aaf7,msUSD / USDC,4835547.0849,0.004821373782709283,1635.62,0.004690337420858693,0.9728217790704132,-45.7,0.0,3048.66,26089.31,4535815.22,0.0,-320121.31740000006,-6.209113783523984,"{""USDC"": 1339.43335}"
0x6cca90e732942d73c276f73b805ca2948f6b3018,RSC / WETH 0.3%,2091265.8304,0.0020851361945894136,1611.14,0.004620138071338254,2.215748824142401,884.01,0.0,1236.58,58943.48,52275.96,176.83,-1.5878999999258667,-7.593003104388616e-05,"{""RSC"": 23827.849841}"
0xc200f21efe67c7f41b81a854c26f9cda80593065,VIRTUAL / WETH 0.7%,1540781.7111,0.0015362655799533206,1458.5,0.004182424480210809,2.7224618808018155,922.77,0.0,911.12,661118.51,289309.42,4627.83,0.0,0.0,
0x46d398a5b33709877f50c8918a7ee96f1be1d7dd,VVV / WETH 0.3%,5064464.2055,0.005049619932378811,1447.37,0.004150507864191099,0.8219446056875509,-313.54,0.0,3006.65,109371.69,383241.2,328.12,-19.05489999987185,-0.000376245690233891,"{""VVV"": 112.750911}"
0xb90fe999be6869af0afc557dccfbe169ea3403d6,cbXRP / WETH 0.007%,3179528.4716,0.0031702090673917977,1443.29,0.0041388079726043595,1.3055315547404733,337.77,0.0,1880.01,1335830.03,664883.94,93.51,-10.321400000248104,-0.00032461940778868504,"{""cbXRP"": 1262.121507}"
0x0225ba893d5f8ecd6d2022f9dec59b34f61098a1,uSOL / WETH 0.3%,2592346.6732,0.0025847483369337483,1434.54,0.004113716293343582,1.5915345546652435,533.18,0.0,1532.79,490469.34,779764.98,1471.41,-3.1759000001475215,-0.00012251047061607505,"{""uSOL"": 19.026903}"
0x21594b992f68495dd28d605834b58889d0a727c7,VIRTUAL / WETH,2226052.1559,0.0022195274526257023,1406.17,0.004032361900128923,1.8167659495982518,632.17,0.0,1315.8,14168.1,4445361.14,0.0,5.58890000032261,0.0002510684225197797,
0x51663b8a28e7ea197c5ccf983afc084da0a8023d,RAVE / USDC 0.3%,3410697.9396,0.0034007009626849864,1378.59,0.00395327292709895,1.1624876666537851,192.69,0.0,2016.69,270989.78,313283.98,812.97,-9.527499999850988,-0.0002793408725830091,"{""USDC"": 1507.342614}"
0xc3b22240657fa67b77d0f1b7a1c1012db60d46fb,TLOS / WETH,2778969.5041,0.002770824164210044,1316.26,0.0037745341421476035,1.362242393762188,350.01,0.0,1643.19,75436.11,169052.78,0.0,-4.763700000010431,-0.00017141936343950594,
0xf39b7c34be147f5dc1bc374f27af2e9f03ad3113,EURC / USDC 0.007%,4608119.6108,0.004594612913289228,1246.59,0.003574747022822072,0.7780300735417021,-355.65,0.0,2725.38,4115425.68,482427.57,288.08,0.0,0.0,"{""USDC"": 1230.235141}"
0x37e1490f7f6f98d263f826e1244c7e7f128632f2,UP / cbBTC 1%,3804892.0689,0.003793739683420395,1240.44,0.0035571111568273544,0.9376265779048659,-82.52,0.0,2279.8,51445.7,693021.91,514.46,-0.7940000002272427,-2.086786747582886e-05,"{""cbBTC"": 0.016911}"
0x7f670f78b17dec44d5ef68a48740b6f8849cc2e6,AERO / WETH,6376282.9643,0.0063575936652982895,1220.23,0.0034991565467861747,0.5503900895531673,-996.8,0.0,3781.31,14389.06,2423244.83,0.0,-1018.9764999998733,-0.015978175558550516,"{""AERO"": 2700.111878}"
0xe846373c1a92b167b4e9cd5d8e4d6b1db9e90ec7,EURC / USDC 0.05%,4590280.5234,0.00457682611341163,1177.59,0.003376881209222795,0.737821609461501,-418.45,0.0,2714.35,4548232.53,2303541.77,2274.12,0.0,0.0,"{""USDC"": 1248.385146}"
